time,wave_elevation
115.8,0.0526189
115.9,0.173519
116.0,0.292035
116.1,0.388743
116.2,0.444568
116.3,0.443465
116.4,0.374863
116.5,0.235418
116.6,0.0298837
116.7,-0.229048
116.8,-0.522014
116.9,-0.825178
117.0,-1.113
117.1,-1.36128
117.2,-1.55004
117.3,-1.66591
117.4,-1.70352
117.5,-1.66598
117.6,-1.56412
117.7,-1.41483
117.8,-1.23867
117.9,-1.05703
118.0,-0.889408
118.1,-0.75108
118.2,-0.651386
118.3,-0.593171
118.4,-0.572971
118.5,-0.582163
118.6,-0.608864
118.7,-0.64004
118.8,-0.663631
118.9,-0.670393
119.0,-0.654975
119.1,-0.61631
119.2,-0.557175
119.3,-0.483012
119.4,-0.400331
119.5,-0.314993
119.6,-0.230558
119.7,-0.1473
119.8,-0.0617342
119.9,0.0329025
120.0,0.145489
120.1,0.285262
120.2,0.459691
120.3,0.672506
120.4,0.922046
120.5,1.20033
120.6,1.49309
120.7,1.78069
120.8,2.04008
120.9,2.24738
121.0,2.38073
121.1,2.4232
121.2,2.36514
121.3,2.20579
121.4,1.95369
121.5,1.62605
121.6,1.24695
121.7,0.844716
121.8,0.448632
121.9,0.0856251
122.0,-0.222689
122.1,-0.462336
122.2,-0.628203
122.3,-0.724165
122.4,-0.762066
122.5,-0.759591
122.6,-0.737575
122.7,-0.716935
122.8,-0.71576
122.9,-0.74683
123.0,-0.815987
123.1,-0.921571
123.2,-1.0548
123.3,-1.20109
123.4,-1.34231
123.5,-1.45912
123.6,-1.53365
123.7,-1.55174
123.8,-1.50465
123.9,-1.39005
124.0,-1.21208
124.1,-0.980689
124.2,-0.710287
124.3,-0.417983
124.4,-0.121639
124.5,0.161986
124.6,0.418743
124.7,0.638094
124.8,0.813664
124.9,0.943184
125.0,1.02793
125.1,1.07195
125.2,1.08113
125.3,1.06214
125.4,1.02176
125.5,0.966239
125.6,0.901032
125.7,0.830781
125.8,0.759443
125.9,0.690536
126.0,0.627361
126.1,0.573187
126.2,0.531251
126.3,0.504601
126.4,0.495838
126.5,0.506782
126.6,0.53815
126.7,0.589245
126.8,0.657841
126.9,0.74026
127.0,0.831541
127.1,0.925858
127.2,1.01691
127.3,1.09845
127.4,1.1647
127.5,1.21065
127.6,1.23219
127.7,1.22618
127.8,1.19036
127.9,1.12318
128.0,1.02363
128.1,0.891261
128.2,0.726116
128.3,0.529061
128.4,0.302004
128.5,0.0482609
128.6,-0.227067
128.7,-0.516898
128.8,-0.812215
128.9,-1.10216
129.0,-1.37495
129.1,-1.61855
129.2,-1.82184
129.3,-1.97584
129.4,-2.07469
129.5,-2.11671
129.6,-2.10463
129.7,-2.04575
129.8,-1.95116
129.9,-1.83476
130.0,-1.71157
130.1,-1.5961
130.2,-1.50045
130.3,-1.43285
130.4,-1.3965
130.5,-1.38906
130.6,-1.40291
130.7,-1.42609
130.8,-1.44383
130.9,-1.44052
131.0,-1.40188
131.1,-1.31704
131.2,-1.18016
131.3,-0.991575
131.4,-0.758075
131.5,-0.492358
131.6,-0.211841
131.7,0.0632842
131.8,0.312314
131.9,0.516331
132.0,0.660487
132.1,0.735593
132.2,0.739217
132.3,0.675916
132.4,0.556664
132.5,0.397552
132.6,0.217967
132.7,0.0384654
132.8,-0.121415
132.9,-0.245117
133.0,-0.320581
133.1,-0.341147
133.2,-0.305807
133.3,-0.218722
133.4,-0.0883135
133.5,0.0742071
133.6,0.256399
133.7,0.446184
133.8,0.633175
133.9,0.809688
134.0,0.971288
134.1,1.11681
134.2,1.24794
134.3,1.3684
134.4,1.48296
134.5,1.59636
134.6,1.71225
134.7,1.83243
134.8,1.95634
134.9,2.08086
135.0,2.20067
135.1,2.30858
135.2,2.39649
135.3,2.45613
135.4,2.48009
135.5,2.46263
135.6,2.40032
135.7,2.29251
135.8,2.14143
135.9,1.95212
136.0,1.73191
136.1,1.48991
136.2,1.23613
136.3,0.9807
136.4,0.733082
136.5,0.501177
136.6,0.290913
136.7,0.105739
